matrix_side,single,1_thr,2_thr,3_thr,4_thr,5_thr,6_thr,7_thr,8_thr
200,0.050799,0.050124,0.025322,0.016914,0.012619,0.010854,0.009116,0.007764,0.006903
250,0.098566,0.098779,0.050341,0.033714,0.025209,0.021186,0.017658,0.015224,0.013344
300,0.172023,0.171929,0.086359,0.057530,0.045293,0.036517,0.030269,0.026185,0.023012
350,0.273526,0.274143,0.137838,0.083845,0.055872,0.042060,0.032390,0.025790,0.022031
400,0.188519,0.148465,0.073469,0.049123,0.036724,0.030502,0.025334,0.021824,0.019045
450,0.208826,0.209120,0.105438,0.069969,0.052630,0.043381,0.036017,0.030909,0.027076
500,0.286966,0.287493,0.144876,0.096414,0.072356,0.059445,0.049822,0.042656,0.037405
550,0.382999,0.383529,0.192860,0.128318,0.096445,0.079075,0.065576,0.056478,0.049793
600,0.498944,0.498757,0.249846,0.166735,0.124924,0.101956,0.085376,0.073060,0.064519
650,0.634856,0.634419,0.317651,0.212438,0.159701,0.129793,0.108457,0.092651,0.082475
700,0.792215,0.793424,0.396652,0.265055,0.199181,0.161922,0.135129,0.115969,0.101543
750,0.975225,0.976646,0.488220,0.325603,0.244756,0.198382,0.165729,0.142564,0.127673
800,1.184728,1.186449,0.593054,0.395903,0.297321,0.240639,0.201466,0.173759,0.153491
850,1.421671,1.423461,0.712104,0.475741,0.356998,0.288694,0.242038,0.207543,0.182809
900,1.688840,1.691124,0.846165,0.566598,0.425009,0.344065,0.288867,0.248372,0.218899
950,1.988455,1.990348,0.995387,0.665653,0.500694,0.403232,0.338869,0.291399,0.261131
